synthetic_image_path,object_id,class_id,class_name,image_path,content_hash,source_group_id,duplicate_group_id,scale,rotation_degrees,horizontal_flip,brightness,contrast,saturation,blur_radius,noise_standard_deviation,alpha_feather_radius,placed_x1,placed_y1,placed_x2,placed_y2,maximum_iou,maximum_existing_occlusion,placement_retries,placement_seed,source_foreground_mean_luminance,source_mask_largest_component_fraction,source_foreground_bbox_fill
datasets/processed/aquarium/synthetic/v1/images/synthetic-000000-4ab04758c3df.jpg,obj-64be6f5cb6edde42,0,fish,datasets/raw/aquarium/export/valid/images/IMG_8581_MOV-1_jpg.rf.f5e474a5a6600f76112e98f60888d236.jpg,5d0e5748ba28ea4fd20a93502fd17547150f3fba4a497c7ae517977dd89f65e0,source-0077,,0.9166085925,-11.9837898271,false,1.0619380512,1.1053972677,0.8739862006,0.0000000000,0.0000000000,1.6300790610,581,779,621,804,0.0000000000,0.0000000000,0,2249222739428560189,81.4845046997,1.0000000000,0.6619047619
datasets/processed/aquarium/synthetic/v1/images/synthetic-000000-4ab04758c3df.jpg,obj-32844308c32f2ce7,0,fish,datasets/raw/aquarium/export/train/images/IMG_2274_jpeg_jpg.rf.2f319e949748145fb22dcb52bb325a0c.jpg,2dbd42d793b7747cf475d828cb60b50da7b5599abc5b76b2f60b72c696ee98a2,source-0029,,0.7618123692,4.6171807929,true,1.0981501951,1.0484900127,1.0392383897,0.2096014833,0.0000000000,0.9976614183,67,105,244,169,0.0348476209,0.1098901099,0,14143947086068135019,60.0273513794,0.9987175693,0.5700067476
datasets/processed/aquarium/synthetic/v1/images/synthetic-000001-2aa839b70318.jpg,obj-670232587d57e62c,0,fish,datasets/raw/aquarium/export/valid/images/IMG_8384_jpg.rf.21b6079e4a1750b15c0ad33e455b0ed3.jpg,3c31cc720c68e2baa91f438b49b5cc11586ea9e5954fb21141d38e68e0c4f769,reviewed-scene-freshwater-root-rock,,0.9644648595,-8.4264899121,false,1.1131999075,1.0587376814,0.8736335653,0.0000000000,0.0000000000,0.8871266231,288,331,408,438,0.0885468388,0.0885468388,0,7204883151378950420,100.8070602417,1.0000000000,0.5024332810
datasets/processed/aquarium/synthetic/v1/images/synthetic-000001-2aa839b70318.jpg,obj-c4936bd9a8563783,0,fish,datasets/raw/aquarium/export/train/images/IMG_8496_MOV-5_jpg.rf.eacca955182a03a262de9b2c4012ecc4.jpg,94e6b393bb022fb5184bf9bd8d9bcb1cdd2b84acfae2a1edff46cd0ff3d98750,source-0053,,0.9132121024,-1.4090794678,false,0.8876759449,0.9287742472,1.0039290863,0.0000000000,0.0000000000,1.0726625566,387,488,711,585,0.1471968526,0.1471968526,0,3826664442620569830,137.2844390869,1.0000000000,0.4923650568
datasets/processed/aquarium/synthetic/v1/images/synthetic-000002-d196d89112bf.jpg,obj-8233df8b5ca2e72b,3,puffin,datasets/raw/aquarium/export/valid/images/IMG_8535_MOV-1_jpg.rf.1c1aa55d7b35e08b6760c9cc43d427d0.jpg,1ff1bb6de012f8367ded186585e416a62f534e698a9931f9e60ba47de5aad7ef,source-0063,,0.9503689913,4.4084566793,false,1.0055799327,1.0486419607,1.0231818836,0.0000000000,0.0000000000,0.6994760317,303,770,347,836,0.0000000000,0.0000000000,0,8620798713145078905,93.4899749756,1.0000000000,0.4381270903
datasets/processed/aquarium/synthetic/v1/images/synthetic-000003-db79c29d1f71.jpg,obj-ef7239184ac040ae,5,starfish,datasets/raw/aquarium/export/train/images/IMG_3181_jpeg_jpg.rf.c52b54494d4236e54b900fe60bd6565b.jpg,1206f4a35735af29fc02271e9df446df7d4d2245fc1bf631ed7738b1e4d8bae9,reviewed-scene-dark-rock-starfish,,0.9267565022,10.7554706081,false,1.0633909167,0.8749297976,0.9162227928,0.3345305955,0.0000000000,1.1933680930,488,694,731,861,0.0199496958,0.1351981352,9,1915509759741337511,122.4854812622,1.0000000000,0.4656510365
datasets/processed/aquarium/synthetic/v1/images/synthetic-000004-e4cc260cebd5.jpg,obj-4c0a8595bbabed9f,0,fish,datasets/raw/aquarium/export/train/images/IMG_2276_jpeg_jpg.rf.7411b1902c81bad8cdefd2cc4eb3a97b.jpg,0c9f964d6f9eb11a854fb494c08737d7b34d98d28b1b9b47cdd16494145d4691,source-0029,,0.7739624446,1.2414637131,true,0.8902195899,0.9073718570,1.0900793235,0.0000000000,0.0000000000,1.5712525360,233,208,265,277,0.0000000000,0.0000000000,0,7580013954680774283,49.0302848816,0.9907216495,0.6150919467
datasets/processed/aquarium/synthetic/v1/images/synthetic-000004-e4cc260cebd5.jpg,obj-78fe172c85c87555,0,fish,datasets/raw/aquarium/export/train/images/IMG_8546_jpg.rf.dfb175317253d2e8afe729282cb03fb7.jpg,cda3d835b9ce20914a0b89a34fcd6b9bb79c4525f662232854fb0fb62b64c679,source-0066,,0.7788371977,8.2076671757,false,1.1192088332,1.1373562666,0.9396437623,0.0000000000,0.0000000000,1.4035302735,688,305,758,367,0.0408662242,0.0763043478,0,4860233721901643469,100.9976577759,0.9708588957,0.5415282392
datasets/processed/aquarium/synthetic/v1/images/synthetic-000005-aaca37631255.jpg,obj-f2d53835c3921381,0,fish,datasets/raw/aquarium/export/train/images/IMG_2400_jpeg_jpg.rf.70540f43bd58c832e6dad61e456ee889.jpg,f873d88730242fc98bf352e5b8d4689bcef8a4fe0403fcafeee9f0ae61375588,reviewed-scene-tropical-coral,,1.0812282739,-1.9037747939,false,1.1248484605,0.8548419564,1.0104639492,0.4529685181,0.0000000000,0.9124479622,18,226,279,431,0.0486778846,0.1240312500,0,8403100602835524619,80.7850265503,1.0000000000,0.6251126126
datasets/processed/aquarium/synthetic/v1/images/synthetic-000006-72308f886f62.jpg,obj-f58f4f932c7970d4,0,fish,datasets/raw/aquarium/export/valid/images/IMG_2279_jpeg_jpg.rf.c93235205522529fc7e9626bf9175cba.jpg,2d328437869b4bde8af7a64a8a767acfc474ed5e1735231df96d44a99b0ebbcd,source-0029,,1.1105139027,7.6563176383,true,0.8738052702,0.9901017316,0.9146810591,0.0000000000,0.0000000000,1.5782755590,330,726,628,863,0.0000000000,0.0000000000,0,17202469680371590960,55.6971473694,0.9996438324,0.5864373738
datasets/processed/aquarium/synthetic/v1/images/synthetic-000007-cbd58cd600a9.jpg,obj-0c563112a38a8497,0,fish,datasets/raw/aquarium/export/train/images/IMG_8382_jpg.rf.16103224694c615b4e9c51a6d30dca75.jpg,a4f21b3097f4169030e0ae9f3cdddc634fb194b9ff07233a8ee416d4dd4b65c2,reviewed-scene-freshwater-root-rock,,0.8871441568,-7.1618986987,true,0.9325699174,0.8878138304,1.0990044664,0.0000000000,0.0000000000,0.7015805096,419,752,522,940,0.0000000000,0.0000000000,0,16483201782701367303,94.8429641724,1.0000000000,0.6837949894
datasets/processed/aquarium/synthetic/v1/images/synthetic-000007-cbd58cd600a9.jpg,obj-c4534dc1660b8565,0,fish,datasets/raw/aquarium/export/test/images/IMG_2582_jpeg_jpg.rf.14f175066ce74b470bf31fa0c7a096cd.jpg,7e9f4a3231b7a953bd3f6eea5df8efd75b9b6d6ba8f7359630c73ae27e84f490,reviewed-scene-large-blue-shark-ray,,0.7625875668,-5.1076136775,true,1.0611406040,1.0670933657,0.9818823092,0.0000000000,0.0000000000,0.9527413837,519,909,565,934,0.0036694555,0.0038731667,0,5420621731800388992,78.7157363892,1.0000000000,0.7193877551
datasets/processed/aquarium/synthetic/v1/images/synthetic-000008-ca7b48185ea6.jpg,obj-e1cdc64032938d2f,0,fish,datasets/raw/aquarium/export/train/images/IMG_8356_jpg.rf.21bda4c8c2d11962747a54e41de650f8.jpg,7f1b2384ec59e8bf97f504298fc8675d8a4c30b4d2ff85cc485e8435ddf68bc8,source-0034,,1.1621409359,-9.7528407565,false,1.0507600741,1.1211420654,0.8524299991,0.0000000000,0.0000000000,1.5548048870,917,196,957,266,0.0000000000,0.0000000000,0,13262155823642379192,105.5007934570,1.0000000000,0.4800000000
datasets/processed/aquarium/synthetic/v1/images/synthetic-000008-ca7b48185ea6.jpg,obj-f4ba0f4e77f7e3cd,0,fish,datasets/raw/aquarium/export/test/images/IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc.jpg,2a408f7058dbd01682727e74fc664b67803bc2f356da3e9dddf394260f2da3b6,reviewed-scene-tropical-coral,,0.9619861765,-7.7554674459,true,1.0941560609,0.9144035341,1.1370580166,0.0000000000,0.0000000000,1.9847816929,350,55,540,190,0.0000000000,0.0000000000,0,17904810525888826508,101.3684539795,0.9998895394,0.6929200153
datasets/processed/aquarium/synthetic/v1/images/synthetic-000009-142f8b52f1e8.jpg,obj-57a7f994bfa84f6b,0,fish,datasets/raw/aquarium/export/test/images/IMG_8452_jpg.rf.6bbff701ab93e29553b3a70137fd4e66.jpg,1f391bf7149005ef127e7e7780e64a9e6f5793ee5e165f574e84f3f46f7581e6,source-0020,,0.7947340981,-2.0821121224,true,1.0091219888,0.8951373130,0.9059013683,0.0000000000,0.0000000000,0.8857868461,196,625,246,649,0.0034359833,0.0034359833,0,3372536718787064706,154.1749725342,1.0000000000,0.5223970944
