regime,class_id,class_name,precision,recall,ap50,ap50_95
synthetic_only,0,fish,0.43062683656341244,0.20385674931129477,0.19186489626310527,0.07961801436391422
synthetic_only,1,jellyfish,0.6052026107891311,0.8734177215189873,0.7643953863388462,0.3904173516813092
synthetic_only,2,penguin,0.7396960694338504,0.75,0.6997782825988188,0.3924716286908524
synthetic_only,3,puffin,0.4832668711143185,0.300033092005239,0.2692947810331491,0.08030831629269439
synthetic_only,4,shark,0.45191663933016196,0.034482758620689655,0.12556366451328863,0.06905999334839594
synthetic_only,5,starfish,0.8758976603816727,0.15789473684210525,0.21456902455015664,0.14551644204851752
synthetic_only,6,stingray,0.11020176682288166,0.028748286997273474,0.034800079212879545,0.025174617781494334
real_25,0,fish,0.32760449574549333,0.24517906336088155,0.16282551979365634,0.07101357352062146
real_25,1,jellyfish,0.6244080310034316,0.8860759493670886,0.8318835057923595,0.45555429443129397
real_25,2,penguin,0.609984445538446,0.75,0.5983164125316586,0.300323255507961
real_25,3,puffin,0.5912334320686431,0.41509433962264153,0.4116410583150536,0.14731467268155005
real_25,4,shark,0.3264515940580756,0.058890825976325896,0.09980482635555266,0.055211356056665786
real_25,5,starfish,1.0,0.24754291422791921,0.3650915820988663,0.21306717671492273
real_25,6,stingray,0.6316183713522632,0.07781348817885128,0.1591819441396552,0.09805211475305459
real_50,0,fish,0.44671221111623055,0.24242424242424243,0.2298878508792548,0.09791173111140988
real_50,1,jellyfish,0.7050629133107652,0.8170589358826656,0.836180645481205,0.4499774942326553
real_50,2,penguin,0.6730962729771925,0.7212177008247354,0.6935650837943386,0.3723233251755306
real_50,3,puffin,0.3716405109365981,0.2830188679245283,0.25406019750527553,0.08749916022682981
real_50,4,shark,0.4712755933615949,0.034482758620689655,0.17493103248989667,0.09450304648494857
real_50,5,starfish,0.820501351118758,0.15789473684210525,0.29191681582306583,0.1985258456820957
real_50,6,stingray,0.24988158432315657,0.26071167764826675,0.13924344127420094,0.08610732884104802
real_75,0,fish,0.3712201642248244,0.11570247933884298,0.14358740160437763,0.06310941389084834
real_75,1,jellyfish,0.5720576061919392,0.8354430379746836,0.7662602523482422,0.4017066647190929
real_75,2,penguin,0.5767931165107618,0.85,0.7539892258620576,0.3637747006888045
real_75,3,puffin,0.5538809668098382,0.22641509433962265,0.29251392235477514,0.1000867597471375
real_75,4,shark,0.3544187854875106,0.08620689655172414,0.19674215831468983,0.10265606611757346
real_75,5,starfish,0.7220684911210931,0.14025378386595355,0.24135502611787657,0.14720911234620343
real_75,6,stingray,0.15374369007867092,0.08695652173913043,0.12912554825564224,0.10158387831353677
real_only,0,fish,0.3754292733623262,0.19559228650137742,0.18643188195513183,0.07800534145126592
real_only,1,jellyfish,0.5642182581176726,0.9367088607594937,0.8774254480742857,0.47585846182483704
real_only,2,penguin,0.6286486150915779,0.8,0.747570504325618,0.3671706090351952
real_only,3,puffin,0.3957542460081114,0.32075471698113206,0.28920973310026554,0.11554165088846644
real_only,4,shark,0.6863492893241678,0.15116590144211284,0.27429782590344104,0.1493004918098138
real_only,5,starfish,1.0,0.1897899498383776,0.28103275263911864,0.1655719134963255
real_only,6,stingray,0.4181952550102431,0.13043478260869565,0.17964439070470734,0.1319939512720722
