regime,image_reference,image_content_sha256,event_id,error_type,pred_class_id,pred_class_name,gt_class_id,gt_class_name,confidence,iou,object_size,pred_bbox,gt_bbox,selection_reason,gallery_filename
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_2521_jpeg_jpg.rf.dde07699f153cc149b5d057924e983c5.jpg,56c5b3c0d28c7cf3788e4c915928b1fbecf0d8e7e8e791a3dcdfa1e145f85a75,synthetic_only:56c5b3c0d28c7cf3788e4c915928b1fbecf0d8e7e8e791a3dcdfa1e145f85a75:0:pred,false_positive,3,puffin,3,puffin,0.96011,0.0,medium,"[356.36,123.812,57.254,78.665]","[446.0,346.5,122.0,179.0]",highest_confidence_false_positive,0000_synthetic_only_false_positive_56c5b3c0d28c.jpg
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-3_jpg.rf.5acced567b7a3d53c4cf07768f40e770.jpg,ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd,synthetic_only:ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd:1:pred,false_positive,1,jellyfish,6,stingray,0.94031,0.45566440160716193,large,"[337.307,108.898,167.426,134.533]","[323.5,5.5,195.0,229.0]",highest_confidence_false_positive,0001_synthetic_only_false_positive_ee2d3a3315fb.jpg
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_8412_jpg.rf.a7669aef0d6247193978c21e8581e57f.jpg,6e88811d03b3b25940c1a2c0421b40715e97a698b7378009ae797cd8ce607878,synthetic_only:6e88811d03b3b25940c1a2c0421b40715e97a698b7378009ae797cd8ce607878:0:pred,false_positive,0,fish,4,shark,0.91708,0.4987186170590612,large,"[35.806,158.649,304.1,290.966]","[83.5,202.00000000000003,197.0,224.0]",highest_confidence_false_positive,0002_synthetic_only_false_positive_6e88811d03b3.jpg
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_8476_jpg.rf.33248f8c26e878e8a1b3a1a85746f93d.jpg,a6c155b87667acc9dc78f5adcfa8f8820a3164cc69040f6c3ce5dffd785f5af5,synthetic_only:a6c155b87667acc9dc78f5adcfa8f8820a3164cc69040f6c3ce5dffd785f5af5:0:pred,false_positive,0,fish,4,shark,0.87853,0.0,medium,"[491.288,648.701,30.219,50.182]","[539.5,278.0,47.0,162.0]",highest_confidence_false_positive,0003_synthetic_only_false_positive_a6c155b87667.jpg
synthetic_only,datasets/raw/aquarium/export/valid/images/IMG_2525_jpeg_jpg.rf.e9788896d11d85d89b81cae4cd20008a.jpg,9ad7f811f9bdbc90584a073c041447073c8ec46471fb15822e8dd3d85e7c09c9,synthetic_only:9ad7f811f9bdbc90584a073c041447073c8ec46471fb15822e8dd3d85e7c09c9:0:pred,false_positive,3,puffin,3,puffin,0.84215,0.0,medium,"[374.884,594.027,81.312,67.225]","[497.0,286.5,32.0,45.0]",highest_confidence_false_positive,0004_synthetic_only_false_positive_9ad7f811f9bd.jpg
synthetic_only,datasets/raw/aquarium/export/valid/images/IMG_8489_jpg.rf.e79ed773754ce88ed4a9a9042d98dca9.jpg,d2006200dbde907c65c88ea0dc8cdcdacdadb22f6d21bd707f8710b594b066fc,synthetic_only:d2006200dbde907c65c88ea0dc8cdcdacdadb22f6d21bd707f8710b594b066fc:18:pred,false_positive,1,jellyfish,1,jellyfish,0.83144,0.05296339102839302,medium,"[536.698,229.62,53.987,41.955]","[462.5,116.49999999999999,111.0,137.0]",highest_confidence_false_positive,0005_synthetic_only_false_positive_d2006200dbde.jpg
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-1_jpg.rf.5e5c650f344f8d835e04f867c6496953.jpg,eac2f599ecc1a2ac02cd9bcf61e96bac343a3b5f59205003c5431241c48831ad,synthetic_only:eac2f599ecc1a2ac02cd9bcf61e96bac343a3b5f59205003c5431241c48831ad:6:pred,false_positive,1,jellyfish,1,jellyfish,0.8001,0.10904430641366991,large,"[170.567,516.271,122.716,136.248]","[69.5,475.5,131.0,189.0]",highest_confidence_false_positive,0006_synthetic_only_false_positive_eac2f599ecc1.jpg
synthetic_only,datasets/raw/aquarium/export/valid/images/IMG_2525_jpeg_jpg.rf.e9788896d11d85d89b81cae4cd20008a.jpg,9ad7f811f9bdbc90584a073c041447073c8ec46471fb15822e8dd3d85e7c09c9,synthetic_only:9ad7f811f9bdbc90584a073c041447073c8ec46471fb15822e8dd3d85e7c09c9:2:pred,false_positive,3,puffin,3,puffin,0.75995,0.0,medium,"[487.127,565.244,58.238,49.063]","[497.0,286.5,32.0,45.0]",highest_confidence_false_positive,0007_synthetic_only_false_positive_9ad7f811f9bd.jpg
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-3_jpg.rf.5acced567b7a3d53c4cf07768f40e770.jpg,ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd,synthetic_only:ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd:0:pred,class_confusion,1,jellyfish,6,stingray,0.97711,0.9272108206380286,large,"[443.736,324.48,131.13,125.809]","[443.0,319.0,132.0,128.0]",highest_confidence_class_confusion,0008_synthetic_only_class_confusion_ee2d3a3315fb.jpg
synthetic_only,datasets/raw/aquarium/export/train/images/IMG_8590_MOV-3_jpg.rf.5acced567b7a3d53c4cf07768f40e770.jpg,ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd,synthetic_only:ee2d3a3315fbfc7d0d3d1bb8c5384dd47c7d4bc20d0d27c7e67403e21af3a8fd:2:pred,class_confusion,1,jellyfish,6,stingray,0.91179,0.8607301512027727,large,"[128.487,63.775,221.856,230.221]","[119.00000000000001,83.5,228.0,209.0]",highest_confidence_class_confusion,0009_synthetic_only_class_confusion_ee2d3a3315fb.jpg
