regime_name,training_image_path,label_path,sample_type,underlying_real_canvas_path,source_group_id,image_hash,label_hash,class_ids_present,selection_seed,real_split_identity,synthetic_pool_identity
real_25,datasets/raw/aquarium/export/test/images/IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85.jpg,datasets/raw/aquarium/export/test/labels/IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85.txt,real,datasets/raw/aquarium/export/test/images/IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85.jpg,penguin-capture-2282-2354,8d96403fbfbf88202c1745097350b798ae4e237ab15f33ce1a8d496ff4c3c23f,05774d6a82f3fda8c9bf37f7f4cf648ed41308e62b3f7888e591a907005c7209,3,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/raw/aquarium/export/test/images/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.jpg,datasets/raw/aquarium/export/test/labels/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.txt,real,datasets/raw/aquarium/export/test/images/IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695.jpg,penguin-capture-2282-2354,7fe76818e7cc208a23947f880b71cf3b2dfa5adea7e005980db02a5e5407fca3,41cf4f3fb40cd5b3612536f3ad9b185adc94b94990b6ace644c5e96d7b347b19,2,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000186-8a61ba93fc33.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000186-8a61ba93fc33.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454.jpg,penguin-capture-2282-2354,0e8d306e057e8d8c0bc642fc14226d5fa6db4f736346e03312f4a95b9fde459d,3290649205910a8683edcf9fcf7bd144434edc6281499b20082dc556710b5348,2;3,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000075-76b2659be5e6.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000075-76b2659be5e6.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb.jpg,penguin-capture-2282-2354,156ac1575bffb4591debc2d6c025a21d56f4f2eef9fddadc1c3ee854036ee087,2e06bf8b15a15116aad586975c57d6175e97ac3c5eeffaca7e66b0b9b0d9b158,1;2,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000307-5588dc009642.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000307-5588dc009642.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a.jpg,penguin-capture-2282-2354,18f686d3be8ffa7bd1313d03b0d16299bd6adb13cd657c9005124b5cc69d5dd2,34f9e81f0c7ebe5e486191a1cf074cf9426146e9db9ceca2f9af6ba1eb96f656,0;2;4,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000355-8e781a52f249.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000355-8e781a52f249.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849.jpg,reviewed-scene-dark-rock-starfish,f4ff2cd0b5ac3fd6a9c28b724ae40cb135a2ce20bfe2395c41de7600c8dd8b8e,6a72e4f060c71dbe0166b7a54d7fb6b9c68260b5d7ba3a136f98b515f5dd62ee,0,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000385-667327300d69.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000385-667327300d69.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d.jpg,reviewed-scene-dark-rock-starfish,2d42742d0ff7bf6058ff815cdbdfd09d668790a80e4fc9fc366527300aa7e474,484940b46c22a7fbddc952f175c9c03ee9da460f22a8ffe959e96d9be7bd23a5,0,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000391-7ed661287353.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000391-7ed661287353.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5.jpg,reviewed-scene-dark-rock-starfish,be4546f121f453ba18db2fd5f0686a53ff050e724b495bfaf9585a1c9e63b7bc,3e33f0d52048bffce2700914af9619885c368632aca0b59f442867e6557edbea,0,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000084-9b3956cb4673.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000084-9b3956cb4673.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719.jpg,reviewed-scene-dark-rock-starfish,a944c4fdbff709de454c9dcfdf749648b95b9771135fa502265613a6e1888d53,7f5d654e95c3dc080e710677a31f9c080982dd3e5720b5442b5ec051f580ce12,0;2;5,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
real_25,datasets/processed/aquarium/synthetic/v1/images/synthetic-000305-30f9d6d7dd80.jpg,datasets/processed/aquarium/synthetic/v1/labels/synthetic-000305-30f9d6d7dd80.txt,synthetic,datasets/raw/aquarium/export/test/images/IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc.jpg,reviewed-scene-tropical-coral,f997794ef3fc9db4259d72011193a7f98d80d8707190dc734efd8db10f4d8a87,dfbcc58f564413ab9e6bdafebc20e9936f2dd3a7729f2ea1bd511179a66ce589,0,42,02dc0a88decf20367e1a2df6f55d90aab9585d4ac93c1f184f4bd41b472796a7,3dbd84054e5b2f9d95a3841974cf9c8bd3b987dcd5b84da0be91a06d9b0989ec
